last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Corbin, Patrick,,2020,60,18,20.3,0.308,4.66,90.7,11.9,6.5,44.2,80.567643519,6.923821302,23.6,64.1,90.2,90.1,2116,2222,1550
Fiers, Mike,,2020,37,16,14.4,0.275,4.58,88.6,20.3,7.5,33.5,78.570640102,5.424965867,15.6,62.6,88,88,2153,2404,1862
Heaney, Andrew,,2020,70,19,25.1,0.246,4.46,88.6,16.3,7.4,39.4,77.671291809,5.87947738,27.7,67,91.5,91.5,2435,2550,2005
Keuchel, Dallas,,2020,42,17,16.3,0.218,1.99,86.8,5.6,4,31.3,74.956208144,5.354275567,23.8,54.9,88.3,86.1,2139,2280,1680
Kikuchi, Yusei,,2020,47,20,24.2,0.238,5.17,89.4,4.3,3.9,36.2,79.08295125,6.18261,29.7,50.5,95,93.5,2215,2347,1422
Gausman, Kevin,,2020,79,16,32.2,0.221,3.62,88,13.1,7.4,36.9,76.682279595,5.725435608,33.1,61.2,95.1,95.1,2312,2353,1730
Ray, Robbie,,2020,68,45,27.1,0.261,6.62,91.6,22.9,13.1,46,81.886657353,7.147485294,32.9,52.2,93.9,93.8,2414,2310,2301
Walker, Taijuan,,2020,50,19,22.2,0.214,2.70,88.4,14,7.2,32.9,78.446220526,5.25322404,20.5,56.9,93.2,93.1,2115,2439,1692
Williams, Trevor,,2020,49,21,19.4,0.296,6.18,87.2,12.3,6.7,36,75.560006897,5.408938621,24.1,60.7,91.5,91.2,2225,2278,1851
Montas, Frankie,,2020,60,23,25.3,0.270,5.60,88.1,17.1,7.8,35.3,77.745635733,5.294562867,28.6,61.6,95.9,95.7,2321,2499,1679
deGrom, Jacob,,2020,104,18,38.8,0.190,2.38,88.2,11.6,9.6,33.6,77.995876806,5.342833889,40.7,60.4,98.6,98.6,2477,2570,1638
Gonzales, Marco,,2020,64,7,23.1,0.222,3.10,86.6,17.6,8.4,34.3,75.196540909,5.023268939,19.6,64.3,88.2,87,2153,2294,2114
Weaver, Luke,,2020,55,18,23.3,0.292,6.58,89.8,19.3,9.3,42,79.435491,6.356294875,24.8,60.2,94,93,2448,2273,1666
Bassitt, Chris,,2020,55,17,21.1,0.233,2.29,88.2,12.5,5.9,37.4,77.390751957,5.869726848,23,57.1,93.3,91.4,2143,2198,1950
Bundy, Dylan,,2020,72,17,27,0.208,3.29,87,14.5,4.6,32.9,75.951830235,5.090558935,29.3,56.9,90,90.1,2409,2478,1620
Houser, Adrian,,2020,44,21,17.9,0.285,5.30,86.3,1.4,5.6,32.8,74.6402825,4.993536989,22.3,62.2,93.8,93.4,2105,2135,1526
Nola, Aaron,,2020,96,23,33.2,0.205,3.28,88.3,8.6,5.4,38.1,76.996211205,5.982298795,31.2,64.4,92.8,92.3,2143,2499,1518
Snell, Blake,,2020,63,18,31,0.228,3.24,87.8,6.6,9.8,36.9,76.379892333,5.60301225,33.7,63.5,95,95,2399,2454,1739
Turnbull, Spencer,,2020,51,29,21.1,0.226,3.97,91.1,8.5,6.3,43.8,81.291830641,6.939800903,28.2,56.8,93.7,94.1,2432,2555,1865
Woodruff, Brandon,,2020,91,18,31.1,0.204,3.05,86.7,13.3,7.2,33.9,74.869262273,5.347296343,28.9,66.6,96.6,96.4,2413,2555,1817
Glasnow, Tyler,,2020,91,22,38.2,0.200,4.08,90.4,13.4,8.8,42.4,80.449045323,6.735060081,32.6,60.1,96.9,96.9,2412,2939,1784
Fedde, Erick,,2020,28,22,12.6,0.241,4.29,89.6,2.5,8.3,39.6,78.413971084,6.515513273,15.3,61.7,93.3,92.3,1875,2273,1576
Freeland, Kyle,,2020,46,23,15.1,0.278,4.33,87.3,7.4,5.6,35.8,75.81297469,5.455217035,20.5,56.3,92.1,91.9,2418,2458,1375
Fried, Max,,2020,50,19,22.3,0.211,2.25,83.4,6.4,3.3,23.8,70.900345342,3.972286027,25.5,61.2,93.1,93,2089,2643,1546
Giolito, Lucas,,2020,97,28,33.7,0.184,3.48,87,15.2,5.6,35.4,75.1833505,5.575196101,36.6,59.4,94,94,2349,2120,1410
Marquez, German,,2020,73,25,21.2,0.247,3.75,88.8,7.2,4.9,40.2,77.797894754,6.009115432,26.3,66.3,95.9,95.6,2152,2589,1816
Voth, Austin,,2020,44,18,19.6,0.281,6.34,89.4,21.2,9.4,43.4,78.26105443,6.458397975,22,57.3,92,91.1,2286,2811,1732
Eflin, Zach,,2020,70,15,28.6,0.263,3.97,87.4,7.9,7.5,32.7,76.259577436,5.336786452,24,63.7,94.3,93.8,2095,2259,1825
McCullers Jr., Lance,,2020,56,20,24.7,0.220,3.93,89.3,3.8,10.3,34.9,79.549102222,5.617136736,29.5,58.1,93,93.7,2083,2787,1766
Mills, Alec,,2020,46,19,18.3,0.230,4.48,86.9,10.1,9.2,39.5,74.541613913,5.6962775,17.9,61.1,89.8,89.8,2183,2460,1709
Berrios, Jose,,2020,68,26,25.1,0.237,4.00,88.7,14,6.3,39.7,77.429804186,6.264088947,27.3,63.1,94.5,94.2,2160,2351,1531
Young, Alex,,2020,39,14,19.1,0.277,5.44,90,15.3,12.7,40.7,79.834825067,6.424558792,24.4,64.2,91.2,89.2,2363,2408,1718
Castillo, Luis,,2020,89,24,30.5,0.233,3.21,86,2.2,4.5,37.1,72.160531236,5.916524915,32.7,61.3,97.4,97.4,2142,2484,1942
Senzatela, Antonio,,2020,41,18,13.5,0.254,3.44,88.3,9.1,5.4,38.3,77.06990275,5.887047992,18.4,62,94.3,94.3,2140,2213,2133
Castellani, Ryan,,2020,25,26,13.2,0.236,5.82,90.9,17.8,7.5,45.1,81.435037164,6.716761128,24.9,61.4,92.5,92.4,2343,2498,1654
Maeda, Kenta,,2020,80,10,32.3,0.168,2.70,85.3,10.8,7,24.7,74.312775844,4.194825425,34.7,64.5,91.6,91,2271,2511,1488
Urias, Julio,,2020,45,18,20.1,0.220,3.27,87.1,21.7,5,28.6,76.528918228,4.859624241,26,62.1,94.2,94.2,2477,2825,1812
Lopez, Pablo,,2020,59,18,24.6,0.230,3.61,85.7,6.7,4.3,32.3,73.64785675,4.8843835,26.2,60,93.9,93.3,2106,2442,1969
Keller, Brad,,2020,35,17,16.3,0.202,2.47,89.2,7.5,3.7,39.1,79.168217342,5.762296646,19.3,57.2,92.8,92.7,2293,2590,1965
